Nitrogen,Phosphorus,Potassium,Temperature,Humidity,pH_Value,Recommended_Crop,Chemical/Component,Threshold,Disease,Affected Crops
37,73,21,29.50304807,63.46513414,5.560224583,"Rice, Potatoes",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
9,59,24,20.43517772,39.37252634,4.747352458,"Rice, Potatoes",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
20,72,15,36.00415838,56.01334416,7.313517308,"Beans, Peas",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
31,56,23,31.46846241,35.39454002,5.661826398,"Rice, Potatoes",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
0,70,21,36.30049702,56.03021253,4.672437054,"Rice, Potatoes",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
21,74,15,29.49096726,67.10604388,6.471862118,"Beans, Peas",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
13,67,18,30.5753044,34.75591197,5.384762927,"Rice, Potatoes",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
27,74,20,24.69487673,59.96669215,5.859813416,"Rice, Potatoes",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
29,72,24,23.17409556,36.67847052,6.962386495,"Beans, Peas",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
5,68,20,19.04380471,33.10695144,6.12166671,"Beans, Peas",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
39,57,19,29.32379604,45.93248374,6.421748487,"Beans, Peas",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
22,62,16,34.6455408,54.32342534,4.828936119,"Rice, Potatoes",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
18,55,23,21.9989826,56.31006755,6.98571967,"Beans, Peas",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
39,77,21,22.99774444,60.24218572,4.603563116,"Rice, Potatoes",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
13,75,20,30.55992394,35.29006485,6.979540061,"Beans, Peas",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
27,71,24,31.46417866,48.17631461,7.064973419,"Beans, Peas",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
26,64,22,25.95058595,40.58227261,5.16516459,"Rice, Potatoes",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
23,55,16,21.01142393,69.69141302,5.111488821,"Rice, Potatoes",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
4,69,19,19.25100056,47.70351758,5.374358869,"Rice, Potatoes",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
20,67,19,19.24462755,50.54495302,5.671419084,"Rice, Potatoes",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
7,74,17,22.47253208,62.56532471,5.667419697,"Rice, Potatoes",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
17,64,18,36.75087487,58.25799145,6.07938452,"Beans, Peas",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
35,71,17,29.89286629,66.35375127,6.931924963,"Beans, Peas",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
11,72,22,29.37735586,44.82294584,6.842744374,"Beans, Peas",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
20,60,22,29.65052947,42.89833235,6.876572503,"Beans, Peas",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
10,71,18,19.54284889,66.34777265,6.151029296,"Beans, Peas",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
33,61,24,20.04611791,48.93905624,4.567446499,"Rice, Potatoes",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
3,49,18,27.91095209,64.70930606,3.692863601,"Rice, Potatoes",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
22,59,23,27.32220619,51.27868781,4.371745575,"Rice, Potatoes",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
36,58,25,28.66024187,59.3189118,8.399135958,"Sugarcane, Tobacco",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
4,43,18,29.02955344,61.09387478,8.840656256,"Sugarcane, Tobacco",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
29,54,16,27.78031515,54.65030015,8.153022903,"Sugarcane, Tobacco",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
32,43,22,31.99928579,54.1077461,5.270749441,"Rice, Potatoes",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
14,55,15,27.33580911,55.27755933,8.050304395,"Sugarcane, Tobacco",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
5,35,20,28.92952635,53.57014709,9.679240873,"Sugarcane, Tobacco",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
25,57,24,27.65472156,58.59986279,6.974978386,"Beans, Peas",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
11,53,24,28.52396666,55.77264351,7.39389918,"Beans, Peas",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
40,49,17,31.02215872,45.89239456,6.68727523,"Beans, Peas",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
38,56,25,25.74095321,45.38497051,7.88118645,"Sugarcane, Tobacco",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
27,43,23,31.70447482,56.85420099,5.875333778,"Rice, Potatoes",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
24,38,22,24.47876451,58.51663927,8.202706015,"Sugarcane, Tobacco",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
23,45,21,31.46511256,51.79939437,8.985348193,"Sugarcane, Tobacco",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
29,57,20,25.60973447,50.7330069,5.87707519,"Rice, Potatoes",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
31,35,23,30.30260453,47.18283631,7.707595055,"Sugarcane, Tobacco",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
0,55,25,28.17489437,43.6672299,4.524171562,"Rice, Potatoes",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
7,45,22,25.50634557,44.8302551,9.926212291,"Sugarcane, Tobacco",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
17,58,25,31.12896766,43.58788762,6.455592696,"Beans, Peas",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
11,44,17,26.34043268,55.59160391,8.016210782,"Sugarcane, Tobacco",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
22,49,22,28.23494706,61.5620517,3.71105919,"Rice, Potatoes",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
9,51,19,27.04453473,49.32609633,5.49091063,"Rice, Potatoes",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
28,48,15,25.16125354,55.25435777,9.254089438,"Sugarcane, Tobacco",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
26,50,19,27.3179125,51.66921088,6.005242945,"Beans, Peas",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
36,56,20,25.4123765,49.66474269,7.437078236,"Beans, Peas",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
8,60,18,31.21629982,46.01868196,3.808429173,"Rice, Potatoes",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
24,37,21,30.573999,58.22686794,5.818219385,"Rice, Potatoes",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
22,43,24,25.42517036,53.2208266,4.52363558,"Rice, Potatoes",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
36,43,24,27.09400578,43.65305437,3.510404312,"Rice, Potatoes",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
22,44,24,24.30935081,56.32938343,6.030447288,"Beans, Peas",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
17,43,22,30.06142622,45.90067655,5.498340808,"Rice, Potatoes",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
8,45,15,28.09568993,60.9835384,4.61136408,"Rice, Potatoes",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
7,56,23,26.33908791,40.00933429,5.545219232,"Rice, Potatoes",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
36,57,16,28.61409059,57.14218792,8.292875734,"Sugarcane, Tobacco",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
11,45,19,28.70012137,44.359648,3.828031463,"Rice, Potatoes",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
6,36,22,24.21610338,59.79236306,8.869532817,"Sugarcane, Tobacco",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
17,57,20,28.50677929,45.20094476,3.793575185,"Rice, Potatoes",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
4,47,20,25.97948991,64.95585424,4.193189124,"Rice, Potatoes",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
9,49,16,30.88482722,41.36561835,7.661537348,"Sugarcane, Tobacco",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
25,51,24,25.5042419,61.66852372,9.392694614,"Sugarcane, Tobacco",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
36,44,21,25.12528913,51.33189406,4.516154055,"Rice, Potatoes",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
21,38,20,27.10508014,63.56791363,5.794289715,"Rice, Potatoes",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
37,57,20,31.1006247,44.82069159,7.354286985,"Beans, Peas",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
32,48,18,26.45707778,56.40226277,5.993513566,"Rice, Potatoes",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
29,44,20,30.04132304,63.56222995,8.620107545,"Sugarcane, Tobacco",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
25,51,18,27.77799528,54.82130787,9.45949344,"Sugarcane, Tobacco",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
10,44,24,30.99256944,43.02151392,8.0344125,"Sugarcane, Tobacco",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
23,35,18,26.4908332,47.36534833,5.414492777,"Rice, Potatoes",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
9,60,23,31.96987867,57.17377029,6.276004336,"Beans, Peas",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
3,58,21,25.36140526,46.82652785,9.160691747,"Sugarcane, Tobacco",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
22,42,22,25.54249137,56.96640758,7.887658711,"Sugarcane, Tobacco",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
12,39,21,28.99319096,62.85948245,8.183844843,"Sugarcane, Tobacco",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
39,36,22,29.34317422,60.50320928,9.072011412,"Sugarcane, Tobacco",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
32,41,16,28.63618921,61.39451307,7.702287236,"Sugarcane, Tobacco",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
30,41,15,24.83206631,44.17085032,5.88509677,"Rice, Potatoes",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
19,36,22,25.44689075,58.55363573,6.16496284,"Beans, Peas",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
4,46,15,31.01274943,62.40392519,3.504752314,"Rice, Potatoes",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
21,39,20,27.06179658,52.3003173,7.388007483,"Beans, Peas",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
35,57,25,27.0956288,42.26206161,8.340398059,"Sugarcane, Tobacco",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
22,55,24,28.56800579,57.30636014,8.66077954,"Sugarcane, Tobacco",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
35,51,17,28.79929247,49.84213387,3.558822825,"Rice, Potatoes",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
17,56,17,27.94293692,45.41393636,5.9565851,"Rice, Potatoes",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
28,57,17,30.47757686,61.58245338,9.416003106,"Sugarcane, Tobacco",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
22,36,16,30.58139475,50.77148138,8.18422855,"Sugarcane, Tobacco",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
11,41,19,26.85911286,41.81420849,5.131779302,"Rice, Potatoes",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
38,38,18,26.31051759,61.18749126,6.294130313,"Beans, Peas",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
23,37,24,28.77833449,44.2252605,7.991902443,"Sugarcane, Tobacco",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
25,35,20,28.90245417,43.35365671,8.923095695,"Sugarcane, Tobacco",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
40,45,20,29.37687468,57.69622912,6.878498176,"Beans, Peas",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
23,58,19,24.17093241,58.25204566,5.243634849,"Rice, Potatoes",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
2,56,23,26.65333029,59.79023382,7.550090941,"Sugarcane, Tobacco",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
3,56,17,28.19912143,53.50567601,8.709291688,"Sugarcane, Tobacco",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
26,51,25,28.76488954,52.62741529,7.792508068,"Sugarcane, Tobacco",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
39,42,20,29.3499706,61.25353851,8.055908858,"Sugarcane, Tobacco",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
27,59,20,28.00937423,52.60950014,4.397698806,"Rice, Potatoes",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
24,45,19,26.85851927,48.8246387,5.952384957,"Rice, Potatoes",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
7,40,17,31.2123945,40.92604945,8.532078733,"Sugarcane, Tobacco",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
15,45,23,24.20422636,61.43378674,7.224193642,"Beans, Peas",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
26,52,23,29.98835437,49.60384796,4.931890506,"Rice, Potatoes",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
20,45,16,29.93964907,54.61813464,4.626212446,"Rice, Potatoes",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
34,54,24,31.2119298,41.55934359,5.026003659,"Rice, Potatoes",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
19,51,25,26.80474415,48.23991436,3.5253661,"Rice, Potatoes",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
29,41,21,31.49398069,62.84916863,8.86979671,"Sugarcane, Tobacco",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
20,50,22,30.99694676,46.42693735,9.406887533,"Sugarcane, Tobacco",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
11,40,23,29.61253065,63.04749127,5.80428611,"Rice, Potatoes",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
15,54,15,29.97604322,57.03184356,8.35495812,"Sugarcane, Tobacco",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
35,55,22,30.88883074,52.62696801,8.634929739,"Sugarcane, Tobacco",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
9,59,25,30.39321309,60.16299493,7.699200949,"Sugarcane, Tobacco",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
40,45,18,30.43683729,55.20522037,5.261285926,"Rice, Potatoes",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
35,38,19,25.32688786,63.18180319,9.112771682,"Sugarcane, Tobacco",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
14,58,17,30.53684308,59.96664731,4.605700542,"Rice, Potatoes",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
40,55,18,30.38257873,40.5926071,7.115994051,"Beans, Peas",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
18,36,23,24.01825377,53.76623369,7.214078621,"Beans, Peas",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
35,52,15,28.69841277,61.14754363,9.93509073,"Sugarcane, Tobacco",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
4,59,22,29.33743412,49.00323081,8.914074888,"Sugarcane, Tobacco",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
22,51,16,27.96583691,61.34900107,8.639586199,"Sugarcane, Tobacco",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
33,47,17,24.86803974,48.27531965,8.621514073,"Sugarcane, Tobacco",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
2,51,17,25.87682261,45.96341933,5.838508699,"Rice, Potatoes",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
16,51,21,31.01963639,49.9767522,3.532008668,"Rice, Potatoes",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
19,55,20,27.43329405,87.80507732,7.18530147,"Beans, Peas",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
8,54,20,28.3340432,80.77275974,7.034214276,"Beans, Peas",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
36,55,20,27.01470397,84.34262707,6.635968698,"Beans, Peas",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
10,56,16,28.17432665,81.04554836,6.828187499,"Beans, Peas",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
22,56,17,29.87888063,87.32761241,6.89077995,"Beans, Peas",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
9,57,24,29.89232778,89.71503316,7.165121109,"Beans, Peas",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
34,59,23,28.56212158,83.24855855,6.935804256,"Beans, Peas",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
31,51,25,27.53592929,85.5701901,7.196774236,"Beans, Peas",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
0,49,18,29.68361658,87.93598094,6.990095452,"Beans, Peas",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
21,39,20,28.14448546,82.1193047,7.064782138,"Beans, Peas",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
28,35,22,29.53037621,86.73346018,7.156563094,"Beans, Peas",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
17,52,17,27.88352946,86.45147631,6.364967184,"Beans, Peas",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
24,42,23,28.22471276,82.35916228,6.428054409,"Beans, Peas",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
28,46,16,29.008124,84.96089355,6.664187809,"Beans, Peas",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
21,38,21,29.75538903,86.45193297,6.637677489,"Beans, Peas",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
34,60,25,29.78416743,85.16906976,6.79385576,"Beans, Peas",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
19,53,22,27.8640132,80.4513142,6.852884643,"Beans, Peas",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
31,58,15,27.11026483,84.96771717,7.121571293,"Beans, Peas",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
19,35,24,27.11030369,83.64274107,6.883308033,"Beans, Peas",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
24,53,17,28.95451232,89.07866095,6.421271178,"Beans, Peas",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
13,47,20,29.21780035,87.93724219,6.54450214,"Beans, Peas",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
31,53,16,28.7420098,85.81675947,6.452006451,"Beans, Peas",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
28,45,23,29.65021184,80.29868321,6.489259136,"Beans, Peas",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
31,37,21,27.23924995,86.404241,6.713410626,"Beans, Peas",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
33,60,15,28.95172351,81.67085323,6.510840928,"Beans, Peas",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
34,45,21,28.18837136,82.60629652,6.287380117,"Beans, Peas",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
13,57,25,28.30041493,86.20681554,6.86308576,"Beans, Peas",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
33,57,17,27.89636126,88.71782287,6.78415271,"Beans, Peas",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
32,57,22,28.6899851,87.50436797,6.769415888,"Beans, Peas",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
23,59,25,27.8262623,88.73100226,6.320768488,"Beans, Peas",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
35,41,18,28.70562673,81.59200689,6.705008504,"Beans, Peas",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
6,48,24,28.6362812,84.61431076,6.790736339,"Beans, Peas",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
29,36,25,28.28511547,88.4393979,7.130278657,"Beans, Peas",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
4,36,22,27.60887393,86.13316408,7.012740397,"Beans, Peas",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
10,59,22,28.60901145,86.99495766,7.155685016,"Beans, Peas",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
14,48,21,29.24598976,84.80084105,6.991242362,"Beans, Peas",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
8,50,21,28.62911222,89.1148059,6.218923893,"Beans, Peas",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
20,40,15,29.57329479,88.07505524,7.199495368,"Beans, Peas",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
36,43,22,27.82684262,87.16679147,6.389882166,"Beans, Peas",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
14,57,15,29.8757015,83.14796296,6.623438282,"Beans, Peas",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
11,60,23,27.33684386,88.50229102,7.033012777,"Beans, Peas",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
10,59,15,29.83040388,89.30428305,6.32400451,"Beans, Peas",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
7,60,25,28.2753171,82.76020821,6.397636709,"Beans, Peas",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
2,47,15,29.86860065,85.99127934,6.401455706,"Beans, Peas",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
20,45,22,29.5888162,89.9939693,6.904587016,"Beans, Peas",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
2,39,15,28.07219563,82.9116472,6.478557136,"Beans, Peas",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
27,40,24,27.84026517,89.99615558,7.063022095,"Beans, Peas",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
35,48,15,27.10818093,87.4512669,6.981758362,"Beans, Peas",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
4,59,25,27.68515114,81.94268594,6.227134139,"Beans, Peas",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
1,48,24,29.34594634,85.60472562,6.232836962,"Beans, Peas",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
36,43,21,28.36319404,84.8593608,7.140437859,"Beans, Peas",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
11,46,24,27.65280218,89.80650642,6.459252023,"Beans, Peas",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
34,47,19,27.31372793,85.44815232,6.568795404,"Beans, Peas",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
21,44,18,27.06909959,86.89934108,7.12851089,"Beans, Peas",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
17,58,20,28.06642822,85.91625451,6.42937879,"Beans, Peas",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
25,40,21,27.73329078,81.13903037,6.248900919,"Beans, Peas",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
2,38,18,27.53632932,89.92908171,6.619891498,"Beans, Peas",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
9,48,20,29.66461594,84.28187572,6.377568542,"Beans, Peas",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
37,49,25,29.9145443,85.85384444,6.415459592,"Beans, Peas",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
36,38,15,28.36363858,87.59810657,6.320662012,"Beans, Peas",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
40,58,15,29.46416042,87.60890009,6.978400282,"Beans, Peas",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
30,44,16,29.73013036,82.89166381,6.442335593,"Beans, Peas",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
1,59,23,27.46852989,87.17649,7.184398832,"Beans, Peas",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
9,48,22,27.77076285,87.09979549,6.402926221,"Beans, Peas",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
14,41,17,29.12939524,88.48312598,7.085982325,"Beans, Peas",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
35,52,19,27.10606808,89.89593328,6.698574085,"Beans, Peas",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
31,48,17,28.88078945,86.94206817,6.594739424,"Beans, Peas",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
4,41,20,28.14720892,83.8001509,6.647965508,"Beans, Peas",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
30,37,25,29.89129144,80.14487166,7.120032489,"Beans, Peas",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
9,35,20,27.41503453,80.98004661,6.91380932,"Beans, Peas",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
20,41,20,29.27308605,89.4875022,7.073048264,"Beans, Peas",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
37,50,23,29.65296893,88.48587386,6.5304707,"Beans, Peas",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
34,35,21,28.44524991,82.67639542,6.684381357,"Beans, Peas",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
14,37,15,27.96235681,83.97586797,6.581351374,"Beans, Peas",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
